,date,et0_fao_evapotranspiration_sum
262,1950-09-20 00:00:00+00:00,3.751042
263,1950-09-21 00:00:00+00:00,3.5741034
264,1950-09-22 00:00:00+00:00,3.6837873
265,1950-09-23 00:00:00+00:00,3.7412632
266,1950-09-24 00:00:00+00:00,4.1639934
267,1950-09-25 00:00:00+00:00,4.2891526
268,1950-09-26 00:00:00+00:00,4.3661623
269,1950-09-27 00:00:00+00:00,4.1786485
270,1950-09-28 00:00:00+00:00,4.2538857
271,1950-09-29 00:00:00+00:00,4.2745566
272,1950-09-30 00:00:00+00:00,4.281757
273,1950-10-01 00:00:00+00:00,3.979525
274,1950-10-02 00:00:00+00:00,3.8750203
275,1950-10-03 00:00:00+00:00,3.7950933
276,1950-10-04 00:00:00+00:00,3.3555026
277,1950-10-05 00:00:00+00:00,3.06156
278,1950-10-06 00:00:00+00:00,3.2764103
279,1950-10-07 00:00:00+00:00,3.0002937
280,1950-10-08 00:00:00+00:00,3.2183666
281,1950-10-09 00:00:00+00:00,3.5988278
282,1950-10-10 00:00:00+00:00,3.547875
283,1950-10-11 00:00:00+00:00,3.2413476
284,1950-10-12 00:00:00+00:00,2.8938622
285,1950-10-13 00:00:00+00:00,3.3073826
286,1950-10-14 00:00:00+00:00,2.647064
287,1950-10-15 00:00:00+00:00,1.8778336
288,1950-10-16 00:00:00+00:00,1.2234831
289,1950-10-17 00:00:00+00:00,3.0472336
290,1950-10-18 00:00:00+00:00,2.8403068
291,1950-10-19 00:00:00+00:00,1.7469501
292,1950-10-20 00:00:00+00:00,2.5363011
293,1950-10-21 00:00:00+00:00,2.3787634
294,1950-10-22 00:00:00+00:00,1.9555434
295,1950-10-23 00:00:00+00:00,2.180717
296,1950-10-24 00:00:00+00:00,2.198572
297,1950-10-25 00:00:00+00:00,2.685043
298,1950-10-26 00:00:00+00:00,2.7831736
299,1950-10-27 00:00:00+00:00,2.5976346
300,1950-10-28 00:00:00+00:00,2.5882869
301,1950-10-29 00:00:00+00:00,1.0623986
302,1950-10-30 00:00:00+00:00,0.71962845
303,1950-10-31 00:00:00+00:00,1.6160557
304,1950-11-01 00:00:00+00:00,2.5975394
305,1950-11-02 00:00:00+00:00,2.6194952
306,1950-11-03 00:00:00+00:00,2.4354708
307,1950-11-04 00:00:00+00:00,2.2836258
308,1950-11-05 00:00:00+00:00,2.2438605
309,1950-11-06 00:00:00+00:00,1.5074587
310,1950-11-07 00:00:00+00:00,1.736441
311,1950-11-08 00:00:00+00:00,2.0992653
312,1950-11-09 00:00:00+00:00,1.7422512
313,1950-11-10 00:00:00+00:00,2.2209713
314,1950-11-11 00:00:00+00:00,2.1638167
315,1950-11-12 00:00:00+00:00,2.1933525
316,1950-11-13 00:00:00+00:00,2.1191974
317,1950-11-14 00:00:00+00:00,2.0582485
318,1950-11-15 00:00:00+00:00,1.929727
319,1950-11-16 00:00:00+00:00,1.7996054
320,1950-11-17 00:00:00+00:00,1.9511198
321,1950-11-18 00:00:00+00:00,1.8742751
322,1950-11-19 00:00:00+00:00,2.0025325
323,1950-11-20 00:00:00+00:00,1.6335056
324,1950-11-21 00:00:00+00:00,1.3397938
325,1950-11-22 00:00:00+00:00,1.0274528
326,1950-11-23 00:00:00+00:00,1.6695341
327,1950-11-24 00:00:00+00:00,1.504956
328,1950-11-25 00:00:00+00:00,1.1551957
329,1950-11-26 00:00:00+00:00,1.560239
330,1950-11-27 00:00:00+00:00,1.583228
331,1950-11-28 00:00:00+00:00,1.5891343
332,1950-11-29 00:00:00+00:00,1.5922221
333,1950-11-30 00:00:00+00:00,0.82833874
334,1950-12-01 00:00:00+00:00,1.5522815
335,1950-12-02 00:00:00+00:00,0.98811877
336,1950-12-03 00:00:00+00:00,1.4221989
337,1950-12-04 00:00:00+00:00,1.4550143
338,1950-12-05 00:00:00+00:00,1.4477863
339,1950-12-06 00:00:00+00:00,1.4407125
340,1950-12-07 00:00:00+00:00,0.9039091
341,1950-12-08 00:00:00+00:00,0.46153846
342,1950-12-09 00:00:00+00:00,0.55562294
343,1950-12-10 00:00:00+00:00,1.351677
344,1950-12-11 00:00:00+00:00,1.3627151
345,1950-12-12 00:00:00+00:00,1.4997141
