,date,temperature_2m_min
394,1951-01-30 00:00:00+00:00,1.801367
395,1951-01-31 00:00:00+00:00,1.5984676
396,1951-02-01 00:00:00+00:00,-6.1544323
397,1951-02-02 00:00:00+00:00,-7.9073315
398,1951-02-03 00:00:00+00:00,0.23976898
399,1951-02-04 00:00:00+00:00,5.1868696
400,1951-02-05 00:00:00+00:00,2.0339704
401,1951-02-06 00:00:00+00:00,1.1810713
402,1951-02-07 00:00:00+00:00,4.0781717
403,1951-02-08 00:00:00+00:00,3.0252724
404,1951-02-09 00:00:00+00:00,2.2223725
405,1951-02-10 00:00:00+00:00,-1.4305265
406,1951-02-11 00:00:00+00:00,-3.2334263
407,1951-02-12 00:00:00+00:00,-2.436325
408,1951-02-13 00:00:00+00:00,2.3607752
409,1951-02-14 00:00:00+00:00,1.0578759
410,1951-02-15 00:00:00+00:00,2.1049762
411,1951-02-16 00:00:00+00:00,5.1020765
412,1951-02-17 00:00:00+00:00,5.1991777
413,1951-02-18 00:00:00+00:00,3.596278
414,1951-02-19 00:00:00+00:00,-0.45662093
415,1951-02-20 00:00:00+00:00,-4.159521
416,1951-02-21 00:00:00+00:00,-5.4624205
417,1951-02-22 00:00:00+00:00,-3.3153193
418,1951-02-23 00:00:00+00:00,-3.718219
419,1951-02-24 00:00:00+00:00,0.12888145
420,1951-02-25 00:00:00+00:00,1.0759821
421,1951-02-26 00:00:00+00:00,-1.0769169
422,1951-02-27 00:00:00+00:00,-1.7298167
423,1951-02-28 00:00:00+00:00,0.9672837
424,1951-03-01 00:00:00+00:00,1.1643844
425,1951-03-02 00:00:00+00:00,2.511485
426,1951-03-03 00:00:00+00:00,6.008586
427,1951-03-04 00:00:00+00:00,-2.842933
428,1951-03-05 00:00:00+00:00,-3.9942539
429,1951-03-06 00:00:00+00:00,-4.5955753
430,1951-03-07 00:00:00+00:00,-3.4468968
431,1951-03-08 00:00:00+00:00,-1.6482177
432,1951-03-09 00:00:00+00:00,-3.0495389
433,1951-03-10 00:00:00+00:00,-2.90086
434,1951-03-11 00:00:00+00:00,1.3478186
435,1951-03-12 00:00:00+00:00,-0.4535029
436,1951-03-13 00:00:00+00:00,0.6451762
437,1951-03-14 00:00:00+00:00,4.1938553
438,1951-03-15 00:00:00+00:00,-5.0574656
439,1951-03-16 00:00:00+00:00,-8.708787
440,1951-03-17 00:00:00+00:00,-7.310108
441,1951-03-18 00:00:00+00:00,-3.2114298
442,1951-03-19 00:00:00+00:00,-2.7627509
443,1951-03-20 00:00:00+00:00,-2.9140723
444,1951-03-21 00:00:00+00:00,-2.7653935
445,1951-03-22 00:00:00+00:00,-1.8667142
446,1951-03-23 00:00:00+00:00,0.18196416
447,1951-03-24 00:00:00+00:00,0.48064327
448,1951-03-25 00:00:00+00:00,1.5793216
449,1951-03-26 00:00:00+00:00,8.878
450,1951-03-27 00:00:00+00:00,8.22668
451,1951-03-28 00:00:00+00:00,5.6253586
452,1951-03-29 00:00:00+00:00,5.274037
453,1951-03-30 00:00:00+00:00,4.372716
454,1951-03-31 00:00:00+00:00,3.0213943
455,1951-04-01 00:00:00+00:00,1.3200731
456,1951-04-02 00:00:00+00:00,-0.18124819
457,1951-04-03 00:00:00+00:00,-1.3825691
458,1951-04-04 00:00:00+00:00,-1.9338901
459,1951-04-05 00:00:00+00:00,0.7147887
460,1951-04-06 00:00:00+00:00,-0.7365329
461,1951-04-07 00:00:00+00:00,-1.687854
462,1951-04-08 00:00:00+00:00,-0.33917546
463,1951-04-09 00:00:00+00:00,4.6095037
464,1951-04-10 00:00:00+00:00,3.258183
465,1951-04-11 00:00:00+00:00,0.6068616
466,1951-04-12 00:00:00+00:00,4.80554
467,1951-04-13 00:00:00+00:00,1.3042188
468,1951-04-14 00:00:00+00:00,0.6528976
