,date,temperature_2m_mean
281,1950-10-09 00:00:00+00:00,19.328732
282,1950-10-10 00:00:00+00:00,19.693142
283,1950-10-11 00:00:00+00:00,20.557558
284,1950-10-12 00:00:00+00:00,19.17197
285,1950-10-13 00:00:00+00:00,17.786383
286,1950-10-14 00:00:00+00:00,15.850797
287,1950-10-15 00:00:00+00:00,15.365209
288,1950-10-16 00:00:00+00:00,15.679622
289,1950-10-17 00:00:00+00:00,19.394033
290,1950-10-18 00:00:00+00:00,16.758448
291,1950-10-19 00:00:00+00:00,13.972861
292,1950-10-20 00:00:00+00:00,12.937275
293,1950-10-21 00:00:00+00:00,13.251686
294,1950-10-22 00:00:00+00:00,13.6661
295,1950-10-23 00:00:00+00:00,13.380512
296,1950-10-24 00:00:00+00:00,13.094925
297,1950-10-25 00:00:00+00:00,14.259339
298,1950-10-26 00:00:00+00:00,14.923751
299,1950-10-27 00:00:00+00:00,15.238165
300,1950-10-28 00:00:00+00:00,15.702576
301,1950-10-29 00:00:00+00:00,12.666989
302,1950-10-30 00:00:00+00:00,12.431404
303,1950-10-31 00:00:00+00:00,14.195816
304,1950-11-01 00:00:00+00:00,14.910229
305,1950-11-02 00:00:00+00:00,14.919081
306,1950-11-03 00:00:00+00:00,14.974595
307,1950-11-04 00:00:00+00:00,15.130112
308,1950-11-05 00:00:00+00:00,15.635626
309,1950-11-06 00:00:00+00:00,14.341141
310,1950-11-07 00:00:00+00:00,14.446654
311,1950-11-08 00:00:00+00:00,15.302171
312,1950-11-09 00:00:00+00:00,15.657684
313,1950-11-10 00:00:00+00:00,14.163201
314,1950-11-11 00:00:00+00:00,14.218714
315,1950-11-12 00:00:00+00:00,13.924231
316,1950-11-13 00:00:00+00:00,13.479745
317,1950-11-14 00:00:00+00:00,13.285259
318,1950-11-15 00:00:00+00:00,12.590775
319,1950-11-16 00:00:00+00:00,11.496289
320,1950-11-17 00:00:00+00:00,10.951804
321,1950-11-18 00:00:00+00:00,11.10732
322,1950-11-19 00:00:00+00:00,12.362834
323,1950-11-20 00:00:00+00:00,13.86835
324,1950-11-21 00:00:00+00:00,14.323865
325,1950-11-22 00:00:00+00:00,13.679379
326,1950-11-23 00:00:00+00:00,12.284894
327,1950-11-24 00:00:00+00:00,10.340409
328,1950-11-25 00:00:00+00:00,10.645924
329,1950-11-26 00:00:00+00:00,10.45144
330,1950-11-27 00:00:00+00:00,10.656954
331,1950-11-28 00:00:00+00:00,10.162469
332,1950-11-29 00:00:00+00:00,9.517983
333,1950-11-30 00:00:00+00:00,9.673498
334,1950-12-01 00:00:00+00:00,10.379013
335,1950-12-02 00:00:00+00:00,9.934528
336,1950-12-03 00:00:00+00:00,9.040043
337,1950-12-04 00:00:00+00:00,7.8955584
338,1950-12-05 00:00:00+00:00,8.001074
339,1950-12-06 00:00:00+00:00,8.456588
340,1950-12-07 00:00:00+00:00,8.462103
341,1950-12-08 00:00:00+00:00,7.517617
342,1950-12-09 00:00:00+00:00,6.3731327
343,1950-12-10 00:00:00+00:00,7.0286474
344,1950-12-11 00:00:00+00:00,7.8341627
345,1950-12-12 00:00:00+00:00,9.339678
346,1950-12-13 00:00:00+00:00,8.795193
347,1950-12-14 00:00:00+00:00,8.600708
348,1950-12-15 00:00:00+00:00,5.0562224
349,1950-12-16 00:00:00+00:00,6.761737
350,1950-12-17 00:00:00+00:00,7.717252
351,1950-12-18 00:00:00+00:00,7.772767
352,1950-12-19 00:00:00+00:00,4.378282
353,1950-12-20 00:00:00+00:00,5.683797
354,1950-12-21 00:00:00+00:00,4.989312
355,1950-12-22 00:00:00+00:00,5.2448273
356,1950-12-23 00:00:00+00:00,5.400342
357,1950-12-24 00:00:00+00:00,3.1058567
358,1950-12-25 00:00:00+00:00,3.2613716
359,1950-12-26 00:00:00+00:00,4.9668865
360,1950-12-27 00:00:00+00:00,4.3224015
361,1950-12-28 00:00:00+00:00,4.0279164
362,1950-12-29 00:00:00+00:00,6.3834314
363,1950-12-30 00:00:00+00:00,3.3889463
364,1950-12-31 00:00:00+00:00,2.3444612
365,1951-01-01 00:00:00+00:00,2.349976
366,1951-01-02 00:00:00+00:00,1.7962573
367,1951-01-03 00:00:00+00:00,0.38946033
368,1951-01-04 00:00:00+00:00,2.6326635
369,1951-01-05 00:00:00+00:00,3.3758667
370,1951-01-06 00:00:00+00:00,4.9690695
371,1951-01-07 00:00:00+00:00,6.112273
372,1951-01-08 00:00:00+00:00,5.805476
373,1951-01-09 00:00:00+00:00,4.3486795
374,1951-01-10 00:00:00+00:00,5.891882
375,1951-01-11 00:00:00+00:00,5.335086
376,1951-01-12 00:00:00+00:00,5.4282885
377,1951-01-13 00:00:00+00:00,4.221492
378,1951-01-14 00:00:00+00:00,3.6146948
379,1951-01-15 00:00:00+00:00,4.3078976
380,1951-01-16 00:00:00+00:00,4.0511007
381,1951-01-17 00:00:00+00:00,5.294304
382,1951-01-18 00:00:00+00:00,3.7875073
383,1951-01-19 00:00:00+00:00,4.8807106
384,1951-01-20 00:00:00+00:00,4.0239134
385,1951-01-21 00:00:00+00:00,4.0171165
386,1951-01-22 00:00:00+00:00,2.11032
387,1951-01-23 00:00:00+00:00,4.6035233
388,1951-01-24 00:00:00+00:00,5.496726
389,1951-01-25 00:00:00+00:00,4.239929
390,1951-01-26 00:00:00+00:00,0.7331325
391,1951-01-27 00:00:00+00:00,2.0763354
392,1951-01-28 00:00:00+00:00,-3.4804614
393,1951-01-29 00:00:00+00:00,-1.2372582
394,1951-01-30 00:00:00+00:00,3.455945
395,1951-01-31 00:00:00+00:00,2.899148
396,1951-02-01 00:00:00+00:00,-0.5576488
397,1951-02-02 00:00:00+00:00,-0.11444569
398,1951-02-03 00:00:00+00:00,3.6787574
399,1951-02-04 00:00:00+00:00,5.421961
400,1951-02-05 00:00:00+00:00,5.5651636
401,1951-02-06 00:00:00+00:00,5.2583666
402,1951-02-07 00:00:00+00:00,5.9515705
403,1951-02-08 00:00:00+00:00,5.2447734
404,1951-02-09 00:00:00+00:00,3.9379766
405,1951-02-10 00:00:00+00:00,3.9811795
406,1951-02-11 00:00:00+00:00,2.2243824
407,1951-02-12 00:00:00+00:00,4.3675857
408,1951-02-13 00:00:00+00:00,5.7107887
409,1951-02-14 00:00:00+00:00,4.853992
410,1951-02-15 00:00:00+00:00,5.447195
411,1951-02-16 00:00:00+00:00,6.390398
412,1951-02-17 00:00:00+00:00,7.833602
413,1951-02-18 00:00:00+00:00,7.526805
414,1951-02-19 00:00:00+00:00,5.8700075
415,1951-02-20 00:00:00+00:00,-0.53678906
416,1951-02-21 00:00:00+00:00,-2.593586
417,1951-02-22 00:00:00+00:00,-1.200383
418,1951-02-23 00:00:00+00:00,2.5928204
419,1951-02-24 00:00:00+00:00,5.536024
420,1951-02-25 00:00:00+00:00,5.7792263
421,1951-02-26 00:00:00+00:00,4.42243
422,1951-02-27 00:00:00+00:00,5.115633
423,1951-02-28 00:00:00+00:00,7.058836
424,1951-03-01 00:00:00+00:00,7.3520393
425,1951-03-02 00:00:00+00:00,8.445242
426,1951-03-03 00:00:00+00:00,8.288445
427,1951-03-04 00:00:00+00:00,2.5324926
428,1951-03-05 00:00:00+00:00,-1.3233395
429,1951-03-06 00:00:00+00:00,0.070828676
430,1951-03-07 00:00:00+00:00,2.1149964
431,1951-03-08 00:00:00+00:00,1.9591641
432,1951-03-09 00:00:00+00:00,0.45333242
433,1951-03-10 00:00:00+00:00,2.5974998
434,1951-03-11 00:00:00+00:00,4.591668
435,1951-03-12 00:00:00+00:00,4.235836
436,1951-03-13 00:00:00+00:00,4.7300034
437,1951-03-14 00:00:00+00:00,4.274172
438,1951-03-15 00:00:00+00:00,1.9683398
439,1951-03-16 00:00:00+00:00,-4.4374933
440,1951-03-17 00:00:00+00:00,-1.993325
441,1951-03-18 00:00:00+00:00,-0.34915686
442,1951-03-19 00:00:00+00:00,-0.45498896
443,1951-03-20 00:00:00+00:00,1.9391788
444,1951-03-21 00:00:00+00:00,4.5833464
445,1951-03-22 00:00:00+00:00,6.627515
446,1951-03-23 00:00:00+00:00,7.821683
447,1951-03-24 00:00:00+00:00,8.06585
448,1951-03-25 00:00:00+00:00,9.8100195
449,1951-03-26 00:00:00+00:00,11.404187
450,1951-03-27 00:00:00+00:00,8.098354
451,1951-03-28 00:00:00+00:00,7.142522
452,1951-03-29 00:00:00+00:00,6.63669
453,1951-03-30 00:00:00+00:00,8.080857
454,1951-03-31 00:00:00+00:00,7.5250254
455,1951-04-01 00:00:00+00:00,6.2691936
456,1951-04-02 00:00:00+00:00,5.6633615
457,1951-04-03 00:00:00+00:00,2.3575296
458,1951-04-04 00:00:00+00:00,2.5516977
459,1951-04-05 00:00:00+00:00,2.2958646
460,1951-04-06 00:00:00+00:00,3.740033
461,1951-04-07 00:00:00+00:00,4.1842012
462,1951-04-08 00:00:00+00:00,6.6783686
463,1951-04-09 00:00:00+00:00,7.5725365
464,1951-04-10 00:00:00+00:00,7.416704
465,1951-04-11 00:00:00+00:00,7.4608717
466,1951-04-12 00:00:00+00:00,8.655041
467,1951-04-13 00:00:00+00:00,7.4992094
468,1951-04-14 00:00:00+00:00,9.393376
469,1951-04-15 00:00:00+00:00,11.487544
470,1951-04-16 00:00:00+00:00,11.081712
471,1951-04-17 00:00:00+00:00,10.325879
472,1951-04-18 00:00:00+00:00,12.170049
473,1951-04-19 00:00:00+00:00,14.264217
474,1951-04-20 00:00:00+00:00,13.708384
475,1951-04-21 00:00:00+00:00,14.502552
476,1951-04-22 00:00:00+00:00,15.99672
477,1951-04-23 00:00:00+00:00,17.540886
478,1951-04-24 00:00:00+00:00,15.735056
479,1951-04-25 00:00:00+00:00,11.679224
480,1951-04-26 00:00:00+00:00,10.67339
