,date,soil_moisture_0_to_10cm_mean
215,1950-08-04 00:00:00+00:00,0.14252293
216,1950-08-05 00:00:00+00:00,0.14236562
217,1950-08-06 00:00:00+00:00,0.14120829
218,1950-08-07 00:00:00+00:00,0.14105093
219,1950-08-08 00:00:00+00:00,0.14089361
220,1950-08-09 00:00:00+00:00,0.14073627
221,1950-08-10 00:00:00+00:00,0.14157891
222,1950-08-11 00:00:00+00:00,0.14142157
223,1950-08-12 00:00:00+00:00,0.14026424
224,1950-08-13 00:00:00+00:00,0.14110689
225,1950-08-14 00:00:00+00:00,0.14194953
226,1950-08-15 00:00:00+00:00,0.14279221
227,1950-08-16 00:00:00+00:00,0.14363487
228,1950-08-17 00:00:00+00:00,0.14447753
229,1950-08-18 00:00:00+00:00,0.14332019
230,1950-08-19 00:00:00+00:00,0.14116284
231,1950-08-20 00:00:00+00:00,0.1400055
232,1950-08-21 00:00:00+00:00,0.13984816
233,1950-08-22 00:00:00+00:00,0.13969082
234,1950-08-23 00:00:00+00:00,0.13953348
235,1950-08-24 00:00:00+00:00,0.13837615
236,1950-08-25 00:00:00+00:00,0.13821882
237,1950-08-26 00:00:00+00:00,0.13806146
238,1950-08-27 00:00:00+00:00,0.13790412
239,1950-08-28 00:00:00+00:00,0.1377468
240,1950-08-29 00:00:00+00:00,0.13758945
241,1950-08-30 00:00:00+00:00,0.13743211
242,1950-08-31 00:00:00+00:00,0.13727476
243,1950-09-01 00:00:00+00:00,0.13711742
244,1950-09-02 00:00:00+00:00,0.13737905
245,1950-09-03 00:00:00+00:00,0.13805969
246,1950-09-04 00:00:00+00:00,0.13874035
247,1950-09-05 00:00:00+00:00,0.13942096
248,1950-09-06 00:00:00+00:00,0.1401016
249,1950-09-07 00:00:00+00:00,0.1407822
250,1950-09-08 00:00:00+00:00,0.14146285
251,1950-09-09 00:00:00+00:00,0.14214347
252,1950-09-10 00:00:00+00:00,0.14282411
253,1950-09-11 00:00:00+00:00,0.14350474
254,1950-09-12 00:00:00+00:00,0.14418536
255,1950-09-13 00:00:00+00:00,0.14486599
256,1950-09-14 00:00:00+00:00,0.14554663
257,1950-09-15 00:00:00+00:00,0.14622727
258,1950-09-16 00:00:00+00:00,0.1469079
259,1950-09-17 00:00:00+00:00,0.14758852
260,1950-09-18 00:00:00+00:00,0.14826915
261,1950-09-19 00:00:00+00:00,0.14894977
262,1950-09-20 00:00:00+00:00,0.1496304
263,1950-09-21 00:00:00+00:00,0.15031102
264,1950-09-22 00:00:00+00:00,0.15099166
265,1950-09-23 00:00:00+00:00,0.15167227
266,1950-09-24 00:00:00+00:00,0.15235293
267,1950-09-25 00:00:00+00:00,0.15303357
268,1950-09-26 00:00:00+00:00,0.15371418
269,1950-09-27 00:00:00+00:00,0.15439482
